 Iso,GroupIndex
1,1, 3.7808964E+03
1,2, 1.0107432E+01
1,3, 4.7927675E+00
1,4, 3.7212820E+03
1,5, 9.4818744E+00
1,6, 4.4182280E+00
1,7, 3.6695848E+03
1,8, 9.3376372E+00
1,9, 4.2541013E+00
1,10, 3.6135016E+03
1,11, 9.2066239E+00
1,12, 4.0810630E+00
1,13, 4.7662823E+03
1,14, 9.4742851E+00
1,15, 6.7044508E+00
1,16, 3.7424505E+03
1,17, 9.5053140E+00
1,18, 4.4926444E+00
1,19, 4.3892810E+03
1,20, 9.4052200E+00
1,21, 5.8567966E+00
1,22, 3.8432680E+03
1,23, 9.3054279E+00
1,24, 4.6274800E+00
1,25, 4.4391057E+03
2,1, 9.2339007E+00
2,2, 5.8928957E+00
2,3, 4.4075323E+03
2,4, 9.1852217E+00
2,5, 5.8043223E+00
2,6, 4.2024003E+03
2,7, 9.1513658E+00
2,8, 5.3456469E+00
2,9, 4.3123733E+03
2,10, 9.1218731E+00
2,11, 5.5758857E+00
2,12, 4.5975668E+03
2,13, 9.0933506E+00
2,14, 6.1914091E+00
2,15, 4.4299924E+03
2,16, 9.0642804E+00
2,17, 5.8315251E+00
2,18, 4.4203649E+03
2,19, 9.0150338E+00
2,20, 5.8252943E+00
2,21, 4.3502924E+03
2,22, 8.9194407E+00
2,23, 5.7082636E+00
2,24, 4.1736143E+03
2,25, 8.7325732E+00
3,1, 5.3986482E+00
3,2, 3.9086489E+03
3,3, 8.4021213E+00
3,4, 4.9579371E+00
3,5, 3.6810188E+03
3,6, 8.6571625E+00
3,7, 4.3473057E+00
3,8, 3.6970546E+03
3,9, 1.0559433E+01
3,10, 3.5617970E+00
3,11, 3.1168096E+03
3,12, 8.8165130E+00
3,13, 3.0398611E+00
3,14, 2.1608596E+03
3,15, 3.7042674E+00
3,16, 3.1464326E+00
3,17, 2.3857914E+03
3,18, 4.1944707E+00
3,19, 3.4293728E+00
3,20, 2.1668033E+03
3,21, 3.3158966E+00
3,22, 3.3276617E+00
3,23, 1.8071166E+03
3,24, 2.7398607E+00
3,25, 2.7860803E+00
